23:22:44.723 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:22:44.739 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 12072 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:22:44.740 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:22:45.878 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:22:45.886 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:22:45.886 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:22:45.886 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:22:45.971 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:22:45.971 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1195 ms
23:22:46.226 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:22:46.299 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:22:46.311 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
23:22:46.322 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
23:22:46.327 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 1.879 seconds (JVM running for 2.232)
23:23:37.637 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:23:37.649 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 15040 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:23:37.650 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:23:39.257 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:23:39.267 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:23:39.267 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:23:39.267 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:23:39.364 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:23:39.364 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1664 ms
23:23:39.674 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:23:39.751 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:23:39.763 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
23:23:39.781 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
23:23:39.789 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.443 seconds (JVM running for 3.204)
23:25:45.827 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:25:45.839 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 16556 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:25:45.840 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:25:47.457 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:25:47.465 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:25:47.466 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:25:47.466 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:25:47.563 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:25:47.563 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1666 ms
23:25:47.818 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:25:47.895 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:25:47.907 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:25:47.922 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:25:47.928 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.391 seconds (JVM running for 3.18)
23:25:52.520 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:25:52.521 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:25:52.521 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
23:29:52.601 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
